WorkNumber,BarrelBatch,MixingTime1,MixingTime2,MixingTime3,TempSet,SandDischatge_Tem,Packaging_Temp,SandWeight_E,SandWeight_L,SandWeight_E,SandWeight_4C,SandWeight_5V,SandWeight_6C,SandWeight_9R,SandWeight_4V,SandWeight_5C,SandWeight_6V,SandWeight_S5,SandWeight_4R,SandWeight_6R,SandWeight_9V,Resin_RA,Resin_PR877,Resin_K2032,Resin_PR853,Resin_RM893,Resin_RB,Resin_RN815,Resin_KL130,Resin_KL1430L,Resin_KL2031,Resin_Liquid,Hardener_30,Hardener_40,Water,Weight_Calcium,Weight_RedIron,Aumosphere_Temp,Atmosphere_humidty,GrainSize,AFS,UnityPoint,FallingTest,
110000052865 ,1,50,60,15,135,80,37,0,0,0,0,122,137,0,0,0,0,96.5,0,146,0,0,0,0,0,0,7.17,0,2.31,0,2.45,0,5.37,0,2.73,0.55,0,21.4,58.8,63.2,61.35,96,222,
110000052865 ,5,50,60,15,135,82,37,0,0,0,0,123,136.5,0,0,0,0,96.5,0,146.5,0,0,0,0,0,0,7.17,0,2.4,0,2.45,0,5.41,0,2.75,0.548,0,21.4,58.1,61.7,63,98,232,
110000052865 ,6,50,60,15,135,82,37,0,0,0,0,122.5,121.5,0,0,0,0,113.5,0,140,0,0,0,0,0,0,7.09,0,2.32,0,2.35,0,5.29,0,2.75,0.541,0,21.6,57.7,63.2,64.43,96,229,
110000052865 ,18,50,60,15,130,81,38,0,0,0,0,123,123,0,0,0,0,113.5,0,137.5,0,0,0,0,0,0,7.08,0,2.34,0,2.34,0,5.3,0,2.68,0.541,0,21.8,58.5,61.1,68.93,96,224,
110000053150 ,1,50,60,15,130,76,39,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,189.5,185.5,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,7.15,0.00,2.40,0.00,2.45,0.00,5.18,0.00,2.89,0.548,0.00,18.3,60.5,62.7,61.35,98,218,
110000053150 ,4,50,60,15,130,80,39,0.0,0.0,0.0,0.0,129.5,0.0,0.0,0.0,0.0,182.0,192.5,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,7.20,0.00,2.46,0.00,2.35,0.00,5.20,0.00,2.96,0.552,0.00,18.4,60.7,63.3,57.75,98,229,
110000053646 ,1,50,60,15,130,76,35,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,125.5 ,135.0 ,139.0 ,0.0 ,95.0 ,0.0 ,0,0,0,0,0,6.53,0,2.18,0,2.26,0,4.8,0,2.87,0.543,0,21.1,54.3,59.8,71.1,100,236,
110000053646 ,4,50,60,15,130,80,37,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,124.0 ,141.0 ,132.5 ,0.0 ,96.0 ,0.0 ,0,0,0,0,0,6.96,0,2.22,0,2.32,0,5.01,0,2.75,0.528,0,21.3,54.2,61.4,63.3,98,231,
110000053646 ,15,50,60,15,130,78,36,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,124.0 ,134.0 ,138.5 ,0.0 ,95.0 ,0.0 ,0,0,0,0,0,6.88,0,2.25,0,2.33,0,5.01,0,2.79,0.573,0,20.8,52.8,61.4,63.83,98,220,
110000053785 ,1,50,60,15,130,78,40,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,211.5 ,144.0 ,132.5 ,0.0 ,0.0 ,0.0 ,0,0,0,0,0,6.63,0,2.16,0,2.22,0,4.79,0,2.92,0.577,0,24.1,48.7,58.6,69.3,98,228,
110000053785 ,4,50,60,15,130,81,39,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,218.0 ,136.0 ,135.0 ,0.0 ,0.0 ,0.0 ,0,0,0,0,0,6.7,0,2.21,0,2.18,0,4.89,0,2.9,0.58,0,24.3,49.3,60,66.9,98,231,
